Customer ID,Monetary,Frequency,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
1,53,1,14.0,4,1,3,413,Potential Loyalists
2,64,1,2.0,5,1,3,513,Potential Loyalists
3,73,1,23.0,3,1,4,314,Lost
4,90,1,49.0,1,1,5,115,Hibernating
5,49,1,31.0,2,1,2,212,Lost
6,20,1,14.0,4,1,1,411,Potential Loyalists
7,85,1,49.0,1,1,5,115,Hibernating
8,34,1,19.0,4,1,1,411,Potential Loyalists
9,97,1,8.0,5,1,5,515,Potential Loyalists
10,31,1,4.0,5,1,1,511,Potential Loyalists
11,34,1,26.0,3,1,1,311,Lost
12,68,1,10.0,5,1,3,513,Potential Loyalists
13,72,1,37.0,2,1,4,214,Hibernating
14,51,1,31.0,2,1,2,212,Lost
15,53,1,34.0,2,1,3,213,Hibernating
16,81,1,8.0,5,1,4,514,Potential Loyalists
17,36,1,44.0,1,1,2,112,Lost
18,38,1,36.0,2,1,2,212,Lost
19,48,1,17.0,4,1,2,412,Potential Loyalists
20,90,1,46.0,1,1,5,115,Hibernating
21,51,1,50.0,1,1,2,112,Lost
22,62,1,22.0,3,1,3,313,Lost
23,37,1,32.0,2,1,2,212,Lost
24,88,1,40.0,2,1,5,215,Hibernating
25,22,1,16.0,4,1,1,411,Potential Loyalists
26,25,1,14.0,4,1,1,411,Potential Loyalists
27,20,1,13.0,4,1,1,411,Potential Loyalists
28,56,1,7.0,5,1,3,513,Potential Loyalists
29,94,1,41.0,1,1,5,115,Hibernating
30,48,1,14.0,4,1,2,412,Potential Loyalists
31,31,1,16.0,4,1,1,411,Potential Loyalists
32,79,1,45.0,1,1,4,114,Hibernating
33,67,1,37.0,2,1,3,213,Hibernating
34,38,1,45.0,1,1,2,112,Lost
35,91,1,38.0,2,1,5,215,Hibernating
36,33,1,48.0,1,1,1,111,Lost
37,69,1,44.0,1,1,4,114,Hibernating
38,45,1,10.0,5,1,2,512,Potential Loyalists
39,37,1,44.0,1,1,2,112,Lost
40,60,1,18.0,4,1,3,413,Potential Loyalists
41,76,1,31.0,2,1,4,214,Hibernating
42,39,1,40.0,2,1,2,212,Lost
43,100,1,15.0,4,1,5,415,Potential Loyalists
44,69,1,19.0,4,1,4,414,Potential Loyalists
45,53,1,45.0,1,1,3,113,Hibernating
46,21,1,25.0,3,1,1,311,Lost
47,43,1,45.0,1,1,2,112,Lost
48,54,1,36.0,2,1,3,213,Hibernating
